0x2003d7de3f959d5e8b96b0930f86cf8ac862239922cb8a50e4266e36f5deed49, 1621838692, ETH, 15.638161305936123, LINK, 1399.9859999999999
0xad0a325e5cf880c5f5a3b230630d9743b295fbed0d6f54463d9bc0a2f8a89855, 1622385949, USDC, 45884.2387579189, LINK, 1462.645280065119
0x33071403b428d2edc16e3384327f61e8c9b2fbf4cbb42676938be5f9f0cefbb5, 1624870326, DAI, 4125.450777638658, LINK, 205.23607073749406
0xfeb7c52c1ae6f5208fdfa17e65f125cdddbfb830895439a3a2c0d8e04c575061, 1625529337, ETH, 0.18049429236618483, LINK, 19.80093289499497
0xd36821c8ad2a7f749cce31ad91b707db7ae8bef838ad54a16048982c5d729e7c, 1625631852, USDC, 2301.715875086677, LINK, 101.74607216738953
0x7fecd02c93ab987e258ff1b684c091eff79788ffda73c737f909768eaf424123, 1625729199, COMP, 0.6574912060176911, LINK, 13.814389219960864
0x60c531996505b37f9b3346778c3bac638652f16149feb2d37bd41e8b7f29f4dc, 1627112136, COMP, 1.2315434520512765, LINK, 27.241402305232366
0x1ef4fc4bb369c0e8ab7834ed9f4cbd67cd891b0d231a30957f848c60468d0395, 1627327604, USDC, 1097.9574106629618, LINK, 51.55957355417219
0xaa67f5addf663de333ab48d3fab5c763d5ca81bf22baa3dde6889b938c154ec2, 1627678375, COMP, 4.97256544744808, LINK, 80.90145534583729
0x08c6cbb4604c499e3795635869300e81cd0ed95b5d1af7cb67f1286dd696fe4b, 1628989593, DAI, 768.3103251265037, LINK, 26.117959391091986
0x12d814e82fe0a6ea6c7a2471c903573951c1398475d194d5e06ae5fb6e17e812, 1629090503, USDC, 1164.2546229283926, LINK, 37.33132641606545
0xdb6b2731d4e433ed729555e537a2f19d6038de00a386f3764bd8c039c69c6e5c, 1629112562, ETH, 12.530064335672682, LINK, 1256.9515203362735
0x7b88095647a322e805d9f6ebf93c5db87f7fad9452e809308943b452c71a8598, 1630908453, USDC, 36559.72909347444, LINK, 997.2280143606456
0xdc1a8f6df208485f1da83552e6cbba5cf18344704b7f84209d59bfa72af5c9f0, 1633698165, DAI, 389.7318223902371, LINK, 13.429816118699726
0x06ee65d395b65dc8f15051a7ab5a5c99bf5830cd706953715092f2bb35b2282e, 1640308106, USDC, 120187.2432672824, LINK, 4966.88325268353
0x5d4db04487833a47d2abc899b36247b64fa1106cc67e483a3b58526ebb1a2cee, 1640613355, USDC, 63939.55703135061, LINK, 2485.431481873717
